prompt,task_type,complexity_score,complexity_tier
Edit this text to be more accessible for beginners,rewriting,0.387,2
Rewrite this technical explanation for a general audience,rewriting,0.392,2
Summarize the plot of this movie,summarization,0.396,2
Categorize this news article by topic,classification,0.4,2
Extract the key takeaways from this presentation,summarization,0.416,2
Summarize the key points from this meeting transcript,summarization,0.427,2
Sort these URLs into phishing or legitimate,classification,0.436,2
Summarize this customer feedback into 5 bullet points,summarization,0.44,2
Create a short summary of this historical event,summarization,0.44,2
Explain what machine learning is to a non-technical person,explanation,0.443,2
Write a haiku about machine learning,creative,0.443,2
Convert this FAQ into a conversational dialog,rewriting,0.45,2
Explain how photosynthesis works in simple terms,explanation,0.454,2
Simplify this legal jargon into plain English,rewriting,0.454,2
Summarize this news broadcast transcript,summarization,0.456,2
Describe the process of cellular respiration,explanation,0.461,2
Describe the difference between SQL and NoSQL,explanation,0.461,2
Explain how git branching works,explanation,0.464,2
Explain how HTTP requests work end-to-end,explanation,0.465,2
Classify this medical symptom description,classification,0.472,2
Write a summary of this podcast episode,summarization,0.476,2
Evaluate the readability of this document,analysis,0.477,2
Explain the concept of recursion with examples,explanation,0.48,2
Summarize the main arguments in this debate transcript,summarization,0.481,2
Write a one-paragraph summary of this research paper,summarization,0.482,2
Describe how batteries work,explanation,0.487,2
Explain the difference between TCP and UDP,explanation,0.488,2
Summarize the user manual into 10 key points,summarization,0.49,2
Explain how DNS resolution works,explanation,0.491,2
Summarize this chapter of the book,summarization,0.494,2
Write a SQL query to find duplicate emails in a users table,coding,0.494,2
Describe the process of natural selection,explanation,0.5,2
Identify patterns in this user behavior data,analysis,0.5,2
Solve this system of linear equations,math,0.5,2
Perform a SWOT analysis on this business idea,analysis,0.502,2
Analyze the sales trends from this quarterly data,analysis,0.504,2
Analyze the cost structure of this business model,analysis,0.506,2
Find the derivative of this function,math,0.506,2
Analyze the risk factors in this investment portfolio,analysis,0.507,2
Write a regular expression to validate email addresses,coding,0.507,2
Evaluate the effectiveness of this marketing campaign,analysis,0.509,2
Write middleware for request logging and error handling,coding,0.513,2
Explain how a car engine works,explanation,0.514,2
Calculate the correlation coefficient between these two variables,math,0.519,2
Develop a character profile for a detective novel protagonist,creative,0.521,2
Write a Dockerfile for a Python Flask application,coding,0.523,2
Calculate the compound interest on a 10k investment over 5 years,math,0.525,2
Explain how a blockchain works,explanation,0.526,2
Compare and contrast these two product offerings,analysis,0.528,2
Compare the performance of these two algorithms,analysis,0.531,2
Analyze the performance metrics from this campaign,analysis,0.543,2
Explain how encryption works,explanation,0.545,2
Describe how the stock market works,explanation,0.545,2
Analyze user engagement from these analytics reports,analysis,0.545,2
Calculate the standard deviation of this dataset,math,0.546,2
Analyze the sentiment trends across these customer reviews,analysis,0.553,2
Solve this quadratic equation step by step,math,0.554,2
Write a song about debugging code,creative,0.555,2
Write a Python function to sort a list of dictionaries by a key,coding,0.565,2
Create a brand story for a sustainable fashion company,creative,0.567,2
Calculate the net present value of these cash flows,math,0.568,2
Explain what quantum computing is,explanation,0.576,2
Analyze this network traffic for anomalies,analysis,0.576,2
Develop a command-line tool with argparse and subcommands,coding,0.578,2
Analyze the competitive landscape from these market reports,analysis,0.582,2
Calculate the probability of getting exactly 3 heads in 5 coin flips,math,0.585,2
Write an executive summary of this report,summarization,0.588,2
Identify root causes from these incident reports,analysis,0.588,2
Identify trends in this time series data,analysis,0.588,2
Write a brief summary of this legal document,summarization,0.591,2
Write unit tests for a payment processing module,coding,0.597,2
Perform a gap analysis on our current vs desired state,analysis,0.599,2
Write a satirical news article about tech startup culture,creative,0.599,2
Create a mock interview between a journalist and a famous inventor,creative,0.606,2
Create a CI/CD pipeline configuration for GitHub Actions,coding,0.607,2
Write a Python decorator that retries a function on failure,coding,0.609,2
Derive the formula for the volume of a sphere,math,0.61,2
Write a function that validates a credit card number using Luhn algorithm,coding,0.622,2
Implement the merge sort algorithm in TypeScript,coding,0.623,2
Analyze this code for potential security vulnerabilities,analysis,0.633,2
Implement a thread-safe singleton pattern in Python,coding,0.636,2
Write a script for a 30-second commercial for a new energy drink,creative,0.636,2
Create a short story about a robot learning to paint,creative,0.644,2
Create a content calendar for a tech blog for Q1,planning,0.646,2
Create a React component that displays a countdown timer,coding,0.652,3
Create a social media campaign strategy for a book launch,creative,0.655,3
Implement the producer-consumer pattern with queues,coding,0.657,3
Calculate the area under this curve using integration,math,0.658,3
Implement a binary search tree in Python with insert and search,coding,0.662,3
Create a hiring plan for scaling an engineering team,planning,0.665,3
Find the eigenvalues of this 3x3 matrix,math,0.666,3
Implement a caching layer with TTL support in Python,coding,0.667,3
Build an authentication system with JWT tokens,coding,0.671,3
Write a web scraper that handles pagination and rate limiting,coding,0.674,3
Create a step-by-step business plan for a coffee shop,planning,0.677,3
Build a REST API endpoint for user registration with validation,coding,0.684,3
Write a persuasive speech about the importance of space exploration,creative,0.684,3
Compose a letter from the future to present-day humanity,creative,0.685,3
Create a project plan for building a mobile app,planning,0.688,3
Write a monologue from the perspective of the last tree on Earth,creative,0.69,3
Figure out the optimal schedule for a team with timezone constraints,reasoning,0.692,3
Develop a training plan for new developer onboarding,planning,0.7,3
Create a budget plan for an AWS infrastructure,planning,0.706,3
Solve this differential equation,math,0.708,3
Design an algorithm to detect plagiarism in student essays,reasoning,0.719,3
Create a data pipeline that reads CSV transforms and writes to database,coding,0.722,3
Design an experiment framework for A/B testing,planning,0.722,3
Design a caching strategy for a global CDN,reasoning,0.728,3
Develop an incident response plan for production outages,planning,0.73,3
Implement a distributed counter using Redis,coding,0.731,3
Design a notification system that respects user preferences and rate limits,reasoning,0.734,3
Create a data deduplication strategy for a data warehouse,reasoning,0.742,3
Write a poem about artificial intelligence in the style of Shakespeare,creative,0.742,3
Design a testing strategy for a microservices architecture,planning,0.742,3
Design a gradual rollout plan for a critical feature,planning,0.758,3
Determine the most cost-effective shipping strategy for a global e-commerce company,reasoning,0.76,3
Design a content moderation system that handles edge cases,reasoning,0.76,3
Implement a rate limiter in Python using a token bucket algorithm,coding,0.763,3
Design a data model for a multi-tenant SaaS application,reasoning,0.767,3
Determine the best pricing strategy for a SaaS product,reasoning,0.773,3
Design an event-driven architecture for order processing,reasoning,0.775,3
Develop an algorithm for automatic code review feedback,reasoning,0.775,3
Devise an algorithm for real-time fraud detection,reasoning,0.79,3
Design a recommendation system for a streaming platform,reasoning,0.793,3
Create a GraphQL resolver with data fetching and caching,coding,0.794,3
Design a system that handles idempotency in payment processing,reasoning,0.795,3
Create a disaster recovery plan for a cloud infrastructure,reasoning,0.797,3
Create a dialogue between a human and an AI about consciousness,creative,0.797,3
Develop a strategy to reduce customer churn by 20%,reasoning,0.798,3
Design a curriculum for a 12-week coding bootcamp,planning,0.799,3
Develop a fault-tolerant distributed task queue,reasoning,0.819,3
Develop a go-to-market strategy for a B2B SaaS product,planning,0.828,3
Build a simple ORM in Python with CRUD operations,coding,0.841,3
Create a migration plan for moving from on-premise to cloud,planning,0.846,3
Create a data migration strategy with rollback procedures,planning,0.847,3
Develop a fictional world for a fantasy novel with geography and culture,creative,0.85,3
Create a strategy for migrating a monolith to microservices,reasoning,0.886,3
